"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0009012C",1,3,0,32,26,42,30,67,51,102,79,NA,NA,NA,NA,1,32000,1,0,0
"0009013C",1,3,1,35,29,42,46,76,74,128,121,164,128,161,158,1,89000,1,0,0
"0009014C",1,3,1,35,27,43,35,63,50,125,91,137,116,173,120,2,75000,0,0,0
"0009015C",1,3,0,30,19,40,22,NA,NA,NA,NA,NA,NA,NA,NA,1,40000,0,0,0
"0009016C",1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60000,1,NA,0
"0009017C",1,3,1,35,28,41,40,95,72,132,104,154,120,194,162,3,44000,0,0,0
"0009018C",1,3,0,30,22,36,31,57,43,118,62,112,89,114,84,1,20000,1,0,0
"0009019C",1,3,0,22,13,26,13,44,26,69,49,NA,NA,NA,NA,3,20000,1,0,0
"0009020C",1,3,1,28,14,30,17,48,27,97,58,120,68,163,116,1,33000,1,0,0
"0009021C",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8600,1,NA,NA
"0009022C",1,3,0,49,45,61,71,115,119,145,140,NA,NA,NA,NA,1,62000,1,0,0
"0009024C",1,3,0,27,27,30,47,68,69,105,114,127,133,167,131,2,49000,0,0,0
"0009025C",1,3,1,25,15,34,20,79,51,NA,NA,NA,NA,NA,NA,1,31000,0,0,0
"0009026C",1,3,1,33,17,35,25,57,33,87,78,115,73,140,97,1,33000,2,0,0
"0010001C",1,3,0,26,13,28,21,37,33,59,69,NA,NA,NA,NA,1,18000,0,0,0
"0010002C",1,3,0,35,29,40,40,63,56,126,116,NA,NA,NA,NA,1,30000,1,0,0
"0010003C",1,3,0,39,31,52,36,106,62,130,110,NA,NA,NA,NA,1,40000,1,0,0
"0010004C",1,3,0,24,29,45,36,58,61,126,106,163,142,187,143,3,14000,0,0,0
"0010005C",1,3,1,26,20,27,19,34,20,NA,NA,NA,NA,94,89,1,23000,1,0,0
"0010006C",1,3,1,29,18,43,25,74,42,113,82,146,102,179,108,1,58000,0,0,0
"0010007C",1,3,1,34,24,41,34,76,55,126,83,149,112,186,140,1,19000,0,0,0
"0010008C",1,3,1,27,13,29,20,45,26,65,49,106,61,128,96,1,475,0,0,0
"0010009C",1,3,0,41,26,46,43,63,53,107,103,NA,NA,NA,NA,1,8000,0,0,0
"0010010C",1,3,1,25,17,36,25,50,36,69,72,107,72,149,113,4,3800,0,0,0
"0010011C",1,3,0,24,19,28,24,39,45,82,89,127,119,135,86,1,12000,0,0,0
"0010012C",1,3,1,38,22,41,31,84,51,142,90,NA,NA,NA,NA,1,19000,1,0,0
"0010013C",1,3,0,33,13,38,25,NA,NA,NA,NA,NA,NA,NA,NA,2,50000,1,0,0
"0010014C",1,3,1,40,20,47,24,NA,NA,NA,NA,NA,NA,NA,NA,3,18000,1,0,0
"0010015C",1,3,1,36,25,39,28,76,48,139,90,126,128,172,133,1,35000,1,0,0
"0010016C",1,3,1,36,20,44,25,66,43,93,74,140,102,167,109,1,35000,0,0,0
"0010017C",1,3,0,32,19,43,26,64,46,150,79,180,111,161,146,1,60000,1,0,0
"0010018C",1,3,1,46,30,64,36,108,55,164,131,177,149,193,165,1,110000,2,0,0
"0010019C",1,3,0,27,22,39,31,68,50,132,115,164,147,190,161,1,19000,1,0,0
"0010020C",1,3,0,26,21,34,29,49,41,76,65,143,93,171,110,1,23000,1,0,0
"0010021C",1,3,1,31,20,37,36,NA,NA,NA,NA,NA,NA,136,127,1,26000,0,0,0
